[alm] 2025-10-12 23:56:04 CEST · [alm] · 2 Svartbag · Rastende · Nexø Sydstrand · DOF Bornholm · Eilif S. Bendtsen · 15.125559666158129, 55.04973082121205 · 11:40-12:10
[alm] 2025-10-12 23:57:30 CEST · [alm] · 1 Spidsand · Overflyvende · Salthammer · DOF Bornholm · Eilif S. Bendtsen · 15.12147772150709, 55.026353135273325 · 12:20-13:20
[alm] 2025-10-12 23:57:50 CEST · [alm] · 13 Trane · Overflyvende · Salthammer · DOF Bornholm · Eilif S. Bendtsen · 15.12147772150709, 55.026353135273325 · 12:20-13:20
[alm] 2025-10-12 23:58:11 CEST · [alm] · 17 Blisgås · Overflyvende · Salthammer · DOF Bornholm · Eilif S. Bendtsen · 15.12147772150709, 55.026353135273325 · 12:20-13:20
[alm] 2025-10-12 23:58:47 CEST · [alm] · 6 Krage, Gråkrage (ssp. cornix) · Rastende · Salthammer · DOF Bornholm · Eilif S. Bendtsen · 15.12147772150709, 55.026353135273325 · 12:20-13:20
[alm] 2025-10-13 00:19:15 CEST · [alm] · 13 Sangdrossel · Trækkende · Gellerupparken Toveshøj · DOF Østjylland · Christian Vemmelund Helligsø · 10.136546771449865, 56.158903617777895 · 00:08
[alm] 2025-10-13 00:19:28 CEST · [alm] · 14 Sangdrossel · Trækkende · Gellerupparken Toveshøj · DOF Østjylland · Christian Vemmelund Helligsø · 10.136546771449865, 56.158903617777895 · 00:08
[alm] 2025-10-13 00:22:43 CEST · [alm] · 15 Sangdrossel · Trækkende · Gellerupparken Toveshøj · DOF Østjylland · Christian Vemmelund Helligsø · 10.136546771449865, 56.158903617777895 · 00:08
[alm] 2025-10-13 00:22:57 CEST · [alm] · 16 Sangdrossel · Trækkende · Gellerupparken Toveshøj · DOF Østjylland · Christian Vemmelund Helligsø · 10.136546771449865, 56.158903617777895 · 00:08
[alm] 2025-10-13 00:27:20 CEST · [alm] · 17 Sangdrossel · Trækkende · Gellerupparken Toveshøj · DOF Østjylland · Christian Vemmelund Helligsø · 10.136546771449865, 56.158903617777895 · 00:08
[alm] 2025-10-13 00:39:38 CEST · [alm] · 20 Sangdrossel · Trækkende · Gellerupparken Toveshøj · DOF Østjylland · Christian Vemmelund Helligsø · 10.136546771449865, 56.158903617777895 · 00:08
[alm] 2025-10-13 00:50:16 CEST · [alm] · 21 Sangdrossel · Trækkende · Gellerupparken Toveshøj · DOF Østjylland · Christian Vemmelund Helligsø · 10.136546771449865, 56.158903617777895 · 00:08
